pi,time
3.22,0.206572
3.16,0.229172
3.19867,0.316292
3.142,0.419769
3.1152,0.479195
3.164,0.563268
3.17257,0.601067
3.1285,0.682972
3.15556,0.772572
3.0828,0.84125
3.13273,0.92554
3.14467,1.00772
3.15262,1.11914
3.14514,1.20307
3.1504,1.27483
3.15375,1.34087
3.11976,1.44084
3.07467,1.49832
3.08695,1.61839
3.2194,1.65837
3.17543,1.65928
3.15109,1.75522
3.15843,1.81272
3.13117,1.91901
3.16416,1.91849
3.14123,1.97076
3.14326,2.05532
3.14186,2.12206
3.14497,2.2535
3.1316,2.31401
3.1311,2.39755
3.1095,2.44496
3.12279,2.52781
3.12859,2.57068
3.13749,2.67289
3.13144,2.71627
3.16314,2.79198
3.16958,2.86603
3.14431,2.92646
3.1804,2.98545
3.16107,3.10019
3.14324,3.18535
3.10781,3.23881
3.14073,3.29475
3.16373,3.42939
3.14409,3.47169
3.1337,3.51009
3.18225,3.56083
3.14261,3.68038
3.172,3.72067
3.14431,3.87951
3.12992,4.00759
3.14385,4.0996
3.11548,4.18553
3.11069,4.25964
3.13229,4.33451
3.13439,4.4144
3.14966,4.47621
3.14515,4.42326
3.15273,4.59478
3.10446,4.71548
3.16942,4.68858
3.11695,4.73139
3.11463,4.85487
3.13532,4.95613
3.15012,5.08356
3.15176,5.17925
3.12771,5.27991
3.14667,5.37708
3.12966,5.34782
3.12513,5.36647
3.15583,5.42414
3.13753,5.57561
3.15032,5.6727
3.15013,5.77894
3.14289,5.86577
3.14182,5.93197
3.13636,5.89069
3.15878,6.05065
3.13185,6.1194
3.13338,6.23061
3.14234,6.34356
3.1559,6.2924
3.14,6.42182
3.13741,6.44641
3.14493,6.50327
3.13278,6.52504
3.13136,6.61572
3.15034,6.74537
3.14329,6.97347
3.15143,7.01032
3.12552,6.88393
3.1268,7.02669
3.13451,7.01651
3.15928,7.22649
3.13825,7.42018
3.15695,7.48875
3.1542,7.58907
3.14226,7.59951
3.15292,7.73651
3.16016,7.78574
3.16129,7.67436
3.14183,7.70976
3.14515,7.82788
3.1312,7.97904
3.13404,8.1606
3.15275,8.05455
3.14593,8.23586
3.12631,8.28157
3.13327,8.35751
3.14029,8.56303
3.11429,8.64001
3.16248,8.68223
3.11961,8.77131
3.16504,8.69503
3.11983,8.81473
3.14708,8.92803
3.16631,9.02501
3.1163,9.05558
3.12973,9.12769
3.13134,9.18803
3.13318,9.07643
3.13902,9.26269
3.15942,9.39423
3.15914,9.37485
3.13029,9.54822
3.12394,9.80167
3.15206,9.86006
3.148,9.92501
3.13606,9.86359
3.14669,9.94684
3.13645,9.89487
3.15567,9.97458
3.14388,10.1899
3.14181,10.2934
3.15679,10.5532
3.15985,10.6097
3.14699,10.7016
3.12345,10.7218
3.1246,10.7759
3.12414,10.8934
3.1522,10.9941
3.1329,11.0953
3.14247,10.976
3.13945,10.8922
3.13016,11.3077
3.15167,11.1627
3.13803,11.283
3.1443,11.5208
3.15152,11.3985
3.15391,11.5022
3.13853,11.5876
3.15467,11.8122
3.12294,11.9862
3.12434,11.8881
3.14779,12.0727
3.12785,12.182
3.14284,12.1356
3.15867,12.1664
3.15068,12.1573
3.14919,12.1332
3.14017,12.4367
3.13499,12.3932
3.12395,12.4654
3.13326,12.435
3.14501,12.6818
3.14493,12.5984
3.15431,12.9703
3.1365,12.9664
3.13842,13.0092
3.16005,13.0362
3.15202,13.0889
3.12698,13.083
3.13228,13.1823
3.14091,13.2205
3.15068,13.2369
3.14592,13.5377
3.13924,13.8104
3.13131,13.8879
3.13864,13.8336
3.13412,14.0555
3.1313,13.9256
3.14752,13.9671
3.13089,14.1139
3.14398,14.1227
3.13557,14.3082
3.14475,14.4759
3.13862,14.3348
3.13433,14.5653
3.13413,14.4236
3.14748,14.5178
3.14704,14.8783
3.13103,14.9308
3.12656,14.8867
3.13325,14.7377
3.1462,14.9765
3.14158,15.1867
3.14697,15.1886
3.14929,15.2048
3.13476,15.0797
3.1324,15.3782
3.15069,15.5318
3.13064,15.5046
3.14045,15.646
3.14113,15.8578
3.13169,16.0378
3.1315,16.2226
3.1626,16.4425
3.12616,16.4553
3.13741,16.4603
3.13073,16.4609
3.14555,16.4292
3.13808,16.4632
3.13994,16.4506
3.1402,16.8978
3.14359,16.4662
3.12778,16.9781
3.1525,17.0482
3.13101,17.3057
3.14735,17.4766
3.13821,17.3972
3.13198,17.2425
3.14179,17.3235
3.14466,17.2662
3.13228,17.5532
3.14391,17.7175
3.15119,17.7135
3.12626,17.8641
3.14554,17.6888
3.15162,17.9527
3.13939,18.1024
3.14207,18.2783
3.13832,18.4084
3.14626,18.1242
3.15224,18.3197
3.16154,18.3013
3.14324,18.5083
3.13296,18.9379
3.12551,18.9971
3.13402,18.5658
3.12742,18.6916
3.1419,19.2246
3.14596,19.2882
3.14026,19.365
3.13308,19.279
3.14167,19.4828
3.12436,19.3169
3.14005,19.2926
3.141,19.3494
3.13514,19.6781
3.14548,19.8099
3.13517,19.9404
3.1464,19.9727
3.1317,19.6534
3.15189,20.1674
3.1295,20.1198
3.14265,19.9778
3.13707,20.3964
3.14046,20.2392
3.13729,20.4144
3.14631,20.2079
3.15029,20.6126
3.13048,20.8244
3.15526,20.8756
3.13911,20.9492
3.14155,21.0217
3.13919,21.0376
3.13797,20.6269
3.14559,21.0029
3.14133,21.0203
3.13547,20.992
3.15616,21.0036
3.13222,21.0818
3.13018,21.1507
3.13788,21.1354
3.15655,21.3434
3.14312,21.4693
3.14404,21.8916
3.15287,21.7064
3.16253,21.8217
3.13902,21.7428
3.14472,21.9819
3.1373,22.147
3.13817,22.483
3.14435,22.5027
3.13534,22.4913
3.13672,22.5026
3.12856,22.7554
3.13946,22.6417
3.13167,23.0163
3.14071,23.0152
3.13596,23.0303
3.12321,23.0282
3.14491,23.058
3.1306,23.104
3.13961,23.0918
3.12733,23.4382
3.14326,23.3025
3.13395,23.2435
3.14775,23.8277
3.14485,23.8084
3.13417,23.6631
3.14168,23.9526
3.14864,23.6009
3.13819,23.6261
3.14576,24.1821
3.13504,24.316
3.14653,24.3579
3.1461,23.9825
3.13752,24.6374
3.1387,24.3991
3.14446,24.215
3.13903,24.4658
3.13525,24.4678
3.12698,24.8852
3.14268,24.8562
3.14184,24.8723
3.13811,25.0086
3.14399,25.2016
3.15316,25.3049
3.14505,24.8962
3.14374,24.9892
3.13881,24.9314
3.13463,25.2905
3.14343,25.6282
3.14455,25.4604
3.14241,25.7218
3.1259,25.5571
3.13874,25.3571
3.14131,25.7673
3.13479,25.8339
3.13289,26.1013
3.13241,25.9566
3.13626,26.1746
3.13851,25.8919
3.14749,26.4185
3.14893,26.5951
3.14344,26.6215
3.15148,26.8843
3.14562,26.5757
3.13965,26.6714
3.1364,27.0229
3.14085,27.125
3.14098,27.1826
3.13141,27.2774
3.1421,27.1558
3.14892,27.2569
3.13817,27.044
3.13594,26.9157
3.14079,27.2997
3.13589,27.4154
3.13909,27.2339
3.14611,27.7177
3.14628,27.3909
3.14242,28.0214
3.14051,27.9488
3.13083,27.3852
3.16002,28.1193
3.14365,28.0649
3.13813,28.5277
3.14277,28.2373
3.12975,28.0397
3.15136,28.5832
3.15596,28.1863
3.14458,28.6024
3.1446,28.8152
3.13112,28.992
3.14697,29.1232
3.1458,28.2848
3.14542,28.8387
3.13327,29.1077
3.14874,29.039
3.14402,28.9798
3.1457,29.3137
3.1499,29.6046
3.13614,29.6205
3.13594,29.1791
3.13488,29.6203
3.13176,29.7149
3.13239,29.7396
3.13942,30.1244
3.14574,29.8764
3.15043,30.054
3.13826,30.1782
3.13908,30.0957
3.1504,29.9228
3.13595,30.4887
3.14601,30.5839
3.14136,30.7703
3.15368,30.7752
3.13911,30.4515
3.14408,30.5179
3.14404,30.6595
3.14542,30.467
3.13676,30.9006
3.13609,30.9933
3.14147,30.6538
3.14118,31.2201
3.13134,31.1418
3.14324,31.4411
3.13883,31.6941
3.13024,31.9024
3.1398,32.1075
3.1367,31.6939
3.1411,31.3222
3.13395,31.384
3.13799,32.0512
3.14355,31.6788
3.14069,31.9993
3.15095,32.4886
3.13884,32.3688
3.141,32.2953
3.14855,32.417
3.14234,32.2017
3.14813,32.6495
3.12602,32.6148
3.1397,32.2904
3.14554,32.9132
3.15173,32.817
3.14037,32.7179
3.14656,32.7304
3.14,32.9096
3.13839,33.4127
3.14899,33.0718
3.13212,33.6219
3.13794,33.5699
3.1426,33.505
3.14575,33.753
3.13518,33.6983
3.12918,33.9737
3.13391,34.0817
