pi,time
3.224, 0.0564421
3.164, 0.103942
3.12, 0.158173
3.158, 0.205412
3.1728, 0.259256
3.128, 0.31745
3.13257, 0.3415
3.16, 0.372977
3.16222, 0.403178
3.1428, 0.431972
3.14364, 0.451493
3.12633, 0.490716
3.15046, 0.533658
3.14057, 0.573669
3.124, 0.615445
3.151, 0.656221
3.14165, 0.694309
3.13356, 0.73691
3.15811, 0.776333
3.1284, 0.819181
3.14476, 0.858683
3.14382, 0.901742
3.13235, 0.939791
3.14233, 0.979817
3.16192, 1.02174
3.142, 1.06181
3.13333, 1.10457
3.13657, 1.14377
3.14662, 1.18389
3.14333, 1.22561
3.15368, 1.26571
3.14, 1.30793
3.13685, 1.34869
3.14047, 1.38637
3.13874, 1.42977
3.13989, 1.46887
3.15741, 1.51204
3.14337, 1.5515
3.14585, 1.5917
3.1319, 1.63329
3.14741, 1.67153
3.13781, 1.71546
3.1426, 1.7552
3.14855, 1.79638
3.13476, 1.83708
3.14287, 1.87541
3.15072, 1.9179
3.146, 1.82387
3.14743, 1.67855
3.14136, 1.71156
3.13694, 1.74416
3.13862, 1.7845
3.14543, 1.81234
3.1497, 1.85119
3.13309, 1.88105
3.151, 1.91684
3.1407, 1.95042
3.14662, 1.98298
3.1461, 2.01927
3.13787, 2.0513
3.14957, 2.08782
3.14006, 2.12124
3.15194, 2.15477
3.13375, 2.19039
3.13803, 2.22333
3.14515, 2.25877
3.13594, 2.29119
3.13435, 2.32404
3.13351, 2.36336
3.14434, 2.39314
3.13262, 2.43332
3.13911, 2.46098
3.14219, 2.49547
3.13027, 2.53148
3.15264, 2.56575
3.14574, 2.60039
3.13662, 2.63613
3.1459, 2.66956
3.14197, 2.70926
3.15775, 2.7333
3.14459, 2.76954
3.13517, 2.80277
3.15349, 2.83924
3.1529, 2.87176
3.14198, 2.90657
3.14251, 2.9417
3.1308, 2.97436
3.14395, 3.00766
3.13425, 3.04286
3.1412, 3.07502
3.14075, 3.12498
3.14643, 3.14455
3.13363, 3.18109
3.14081, 3.21461
3.14581, 3.24984
3.15158, 3.28215
3.13377, 3.31726
3.13988, 3.35078
3.13907, 3.38546
3.14356, 3.42465
3.14257, 3.45259
3.13733, 3.48575
3.15161, 3.5241
3.14677, 3.55402
3.13909, 3.59621
3.13992, 3.62439
3.15028, 3.65709
3.14785, 3.6932
3.14048, 3.72877
3.14476, 3.76348
3.15023, 3.793
3.13618, 3.82773
3.14481, 3.86369
3.14537, 3.89554
3.13955, 3.9354
3.13859, 3.96463
3.13535, 4.00199
3.14542, 4.03523
3.14245, 4.06587
3.14053, 4.1035
3.13779, 4.14352
3.13492, 4.17257
3.14764, 4.20681
3.145, 4.23773
3.13629, 4.27445
3.1413, 4.3068
3.14409, 4.34586
3.13894, 4.38264
3.14394, 4.40937
3.14145, 4.44625
3.14122, 4.47764
3.14455, 4.51283
3.14156, 4.5456
3.14319, 4.59391
3.14767, 4.66703
3.14665, 4.6497
3.13772, 4.68469
3.13962, 4.71691
3.13963, 4.76199
3.14471, 4.78448
3.14156, 4.81888
3.14332, 4.85303
3.13827, 4.88879
3.13536, 4.92441
3.13255, 4.96067
3.14674, 4.98802
3.13554, 5.02659
3.14532, 5.16585
3.14518, 5.09357
3.13933, 5.13464
3.13515, 5.15957
3.13218, 5.19723
3.13775, 5.22933
3.13953, 5.26494
3.14514, 5.30193
3.14185, 5.3308
3.14056, 5.36597
3.14565, 5.40217
3.14236, 5.43567
3.14403, 5.47063
3.14137, 5.50513
3.14346, 5.54223
3.13995, 5.56897
3.14102, 5.60933
3.13993, 5.64109
3.13745, 5.67632
3.1435, 5.71136
3.1454, 5.74247
3.1391, 5.77987
3.14388, 5.8096
3.14166, 5.84585
3.14751, 5.87865
3.14506, 5.92317
3.14407, 5.94573
3.14597, 5.98419
3.14293, 6.01914
3.14676, 6.04807
3.14357, 6.09883
3.13848, 6.11867
3.1498, 6.14943
3.15008, 6.18677
3.13987, 6.22077
3.13862, 6.25782
3.1355, 6.29092
3.13877, 6.32296
3.13927, 6.35892
3.13726, 6.3899
3.14449, 6.42447
3.14199, 6.4599
3.14288, 6.49309
3.13569, 6.52808
3.14521, 6.56079
3.14226, 6.60033
3.144, 6.62982
3.14131, 6.66908
3.13914, 6.69813
3.1415, 6.73178
3.14368, 6.77018
3.14786, 6.80103
3.13762, 6.84366
3.14635, 6.8694
3.14057, 6.90215
3.14091, 6.93651
3.1419, 6.97734
3.14786, 7.01326
3.14359, 7.04129
3.14046, 7.07177
3.14187, 7.10835
3.14067, 7.14161
3.14343, 7.17838
3.14078, 7.20983
3.13892, 7.24411
3.14368, 7.28366
3.13746, 7.31651
3.1389, 7.34995
3.14191, 7.38374
3.14088, 7.4187
3.14297, 7.44907
3.14336, 7.49002
3.12916, 7.52165
3.14156, 7.55154
3.13944, 7.59443
3.14226, 7.62408
3.14293, 7.65259
3.1446, 7.68951
3.14467, 7.72462
3.14058, 7.76464
3.14154, 7.7934
3.14403, 7.82395
3.14163, 7.85795
3.13711, 7.89797
3.14034, 7.93444
3.14769, 7.96545
3.14185, 7.99317
3.13911, 8.04704
3.14164, 8.06291
3.13608, 8.10022
3.14195, 8.13322
3.14052, 8.17619
3.1487, 8.20686
3.13613, 8.23199
3.14317, 8.26981
3.1412, 8.30348
3.13607, 8.33712
3.1416, 8.37549
3.14013, 8.40518
3.13934, 8.44806
3.14116, 8.47741
3.13974, 8.50973
3.14098, 8.54109
3.1382, 8.58168
3.14341, 8.6169
3.14234, 8.64471
3.14405, 8.68137
3.14155, 8.71917
3.14027, 8.75029
3.14167, 8.79108
3.14284, 8.813
3.13981, 8.85336
3.14391, 8.88302
3.14175, 8.91982
3.14238, 8.9535
